"x"
"1"
"Agricole"
"Espaces.Verts"
"Techniques"
"Végétales"
"Vivant"
"Engins.véhicules"
"Alimentaires"
"Cultiver..jardiner..exploiter.le.bois"
"Nettoyer.des.espaces.extérieurs"
"Manipuler.un.outil..un.appareil..un.instrument"
"2"
"Agricole"
"Espaces.Verts"
"Techniques.de.soins.aux.animaux"
"Végétales"
"Vivant"
"Animales"
"Prendre.soin.d.un.animal"
"Cultiver..jardiner..exploiter.le.bois"
"3"
"Environnement"
"Espaces.Verts"
"Techniques.de.soins.aux.animaux"
"Evaluation"
"Animales"
"Enquêter..rechercher"
"Evaluer..étudier..analyser"
"Synthétiser..traiter.une.information"
"4"
"Fiscal"
"Agricole"
"Végétales"
"Vivant"
"Animales"
"Terrestres"
"Effectuer.des.mesures"
"Evaluer..étudier..analyser"
"Cultiver..jardiner..exploiter.le.bois"
"Former.une.personne..enseigner"
"5"
"Sécurité..Protection.des.biens.et.des.personnes"
"Agricole"
"Secourisme"
"Physiques"
"Techniques"
"Terrestres"
"Economie"
"Materiel.et.équipement"
"Prendre.des.décisions..définir.une.stratégie"
"Encadrer..gérer.une.équipe"
"Respecter.une.règle..une.norme..une.consigne"
"Surveiller.un.lieu"
"Enquêter..rechercher"
"6"
"Techniques.d.entretien..de.nettoyage"
"Agricole"
"Techniques.de.soins.aux.animaux"
"Animales"
"Engins.véhicules"
"Autres..2."
"Materiel.et.équipement"
"Prendre.soin.d.un.animal"
"Cultiver..jardiner..exploiter.le.bois"
"Stériliser..désinfecter..dépolluer..décontaminer"
"Transporter.des.personnes..des.animaux"
"7"
"Sécurité.alimentaire"
"Confection.alimentaire.restauration"
"Techniques.d.entretien..de.nettoyage"
"Animales"
"Alimentaires"
"Gérer.un.stock..un.approvisionnement"
"Cuisiner"
"Laver.du.matériel..des.ustensiles..des.machines..des.véhicules"
"Ranger..conditionner..trier"
"8"
"Confection.alimentaire.restauration"
"Agricole"
"Espaces.Verts"
"Littérature..philosophie"
"Appréciation.sensorielle"
"chimie..2."
"Physique.et.chimie"
"Végétales"
"Alimentaires"
"Cuisiner"
"Effectuer.des.opérations.de.caisse"
"9"
"Sécurité.sanitaire"
"Techniques.de.soins.aux.animaux"
"Animales"
"Prendre.soin.d.un.animal"
"Stériliser..désinfecter..dépolluer..décontaminer"
"10"
"Artisanat.d.art"
"Menuiserie"
"Techniques.diverses"
"Dessin.industriel..plans"
"Artistique"
"Machines.outils.appareils"
"Bois..2."
"Encadrer..gérer.une.équipe"
