,intitule,rome,score,X1,X2,cluster
47,Stylisme,B1805,-2.2854944897651297,-44.368944795263396,-42.9227431017449,16
55,Indemnisations en assurances,C1107,-2.2946671128406115,30.085678380787,-9.69031444278535,3
53,Études actuarielles en assurances,C1105,-2.300948883403048,65.4787899056251,28.1988292224814,17
80,Vente en gros de produits frais,D1107,-2.398238564805227,10.4319616979498,39.6975157727344,29
76,Charcuterie - traiteur,D1103,-2.500783130021976,18.8822820143075,78.6620361181842,7
33,Décoration d'objets d'art et artisanaux,B1302,-2.671815575086934,-54.5524227351587,-54.7894586442618,11
65,Management en exploitation bancaire,C1207,-2.8529918763186726,59.41914891929729,45.33319762084329,23
99,Relation commerciale en vente de véhicules,D1404,-2.95374976049285,32.6914707944497,25.9952789267553,34
24,"Polyculture, élevage",A1416,-3.074976902901533,42.690368948312795,-48.685086618583604,2
51,Courtage en assurances,C1103,-3.077307488681522,49.27465428189771,26.861440731261396,18
97,Relation commerciale grands comptes et entreprises,D1402,-3.111860892553502,33.384849223131496,24.4426636721879,34
56,Management de groupe et de service en assurances,C1108,-3.1360092654396654,49.22810975673801,35.225487480597295,20
35,"Réalisation d'objets en lianes, fibres et brins végétaux",B1401,-3.150167512801943,-51.6855825082594,-56.48243138626329,11
78,Poissonnerie,D1105,-3.202112014471362,19.7532798588846,75.7568331196767,7
59,Accueil et services bancaires,C1201,-3.3225406116910663,2.91268987948107,38.1765508722574,22
67,Gestion back et middle-office marchés financiers,C1302,-3.3905064606398376,61.7446949163642,41.215434290469204,24
21,Fermentation de boissons alcoolisées,A1413,-3.4024075956835396,20.091483259276398,65.122435286916,8
95,Management de magasin de détail,D1301,-3.4227226298351114,2.3734622590401604,37.0643329530363,22
19,Élevage porcin,A1411,-3.427007289050203,57.578760565147896,-44.9037145871673,6
52,Direction d'exploitation en assurances,C1104,-3.458661969981396,55.094666064566404,38.815162311826,19
90,Vente en animalerie,D1210,-3.5191997583426198,51.79858406098371,-40.701403556279395,9
77,"Pâtisserie, confiserie, chocolaterie et glacerie",D1104,-3.626643355364159,18.018755986501397,78.7171964232954,7
18,Élevage ovin ou caprin,A1410,-3.687299576799156,60.79546382190579,-45.0960517753115,6
41,Réparation - montage en systèmes horlogers,B1604,-3.8578504472900867,-2.56905546914294,-31.355088109470202,13
66,Front office marchés financiers,C1301,-3.880163344605479,65.6654590881539,41.6608569930642,24
43,Réalisation d'articles de chapellerie,B1801,-3.893218430489969,-47.052311412524006,-62.2284983800069,14
96,Assistanat commercial,D1401,-3.901311288705478,35.0182001619768,24.8735387521375,34
87,Retouches en habillement,D1207,-3.9180753861005337,-43.20143748155729,-62.9682369172968,15
5,Sylviculture,A1205,-3.92786405969218,42.1200780467455,-55.3032312945008,1
25,Saliculture,A1417,-3.96089678919102,45.1072745303977,-47.500699636445106,2
26,Aide aux soins animaux,A1501,-3.9735335682554296,54.718037443702094,-42.3098919475951,9
20,Fabrication et affinage de fromages,A1412,-4.044572440016026,20.694334291689202,76.664907776582,7
22,Horticulture et maraîchage,A1414,-4.272530450752096,43.5012460150178,-48.79690185831839,2
40,"Réalisation d'ouvrages en bijouterie, joaillerie et orfèvrerie",B1603,-4.725315088729434,-55.6541691644994,-53.5861314566227,11
28,Toilettage des animaux,A1503,-4.725315088729434,54.2794158662835,-41.863270479695394,9
100,Conseil en information médicale,D1405,,24.995067430641697,7.23549854783518,35
101,Management en force de vente,D1406,,21.7230138379674,20.0480578663101,36
102,Relation technico-commerciale,D1407,,33.3428571841928,23.028914737171696,34
103,Téléconseil et télévente,D1408,,17.1889541007403,22.6209124934577,36
